File Name,Manually Tagged,Programmatically  Tagged ,Skipped Tags,Wrongly Tagged
1.txt,10,11,3,4
2.txt,23,22,4,3
3.txt,21,23,3,5
4.txt,13,14,2,3
5.txt,32,34,5,7
6.txt,43,41,6,4
7.txt,32,35,4,7
8.txt,12,14,6,8
9.txt,31,36,3,8
10.txt,32,34,2,4
11.txt,23,20,5,2
12.txt,43,49,1,7
13.txt,45,47,6,8
14.txt,65,67,7,9
15.txt,45,52,5,12
16.txt,23,42,4,23
17.txt,12,12,3,3
18.txt,43,40,7,4
19.txt,54,55,4,5
20.txt,34,33,8,7
